idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
52,0.454685748541573,0.766412728582596,2.16036204002046,0.234483386148355,0.911793176640531,0,1,1,47.5,46.63,317,0.33,2.29138246976837,2.04480254285915,2.04934169205913,0,6
53,0.445970804529167,0.735369817481212,2.36051914312371,0.259884008205975,0.8667670491728,0,1,1,47.5,46.65,313,0.32,2.23539392999085,1.99660893265081,1.9999812515841,0,6
54,0.450746086624454,0.761788679820217,2.19465412119225,0.237745214896679,0.917429394460562,0,1,1,47.5,46.67,308,0.31,2.17336717637957,1.93984640172997,1.94333018489701,0,6
55,0.463284840762853,0.760896031166302,2.20408553324833,0.231371978176673,0.917867884994633,0,1,1,47.5,46.69,300,0.29,2.09064283650466,1.8638987717631,1.8661533339892,0,6
56,0.454379950338468,0.759462907831581,2.19464542968308,0.23984273423481,0.921938118798189,0,1,1,47.5,46.71,295,0.28,2.04181830695064,1.82397820996844,1.82015534382547,0,6
57,0.452349272361328,0.743826242189825,2.29532771649045,0.248104810375677,0.884533206613816,0,1,1,47.5,46.73,290,0.25,1.9887227024133,1.77883655303935,1.76952058460175,0,6
58,0.456323118371659,0.750852217266598,2.2871682835677,0.236120152011777,0.902114995594533,0,1,1,47.5,46.75,285,0.26,1.93567106437334,1.73235868880352,1.71816731254473,0,6
59,0.453785562570092,0.753012048192771,2.24750717839708,0.234901717623397,0.931318553076217,0,1,1,47.5,46.77,280,0.23,1.88336634920933,1.68605327432743,1.66451345658188,0,6
60,0.47375689670619,0.782497104760713,2.10804605433223,0.201794509240295,0.941416106774789,0,1,1,47.5,46.79,272,0.23,1.81499617494301,1.62588274209333,1.60018575856516,0,6
61,0.468944241643819,0.77326363650423,2.11708501451704,0.216091264236071,0.932758131174364,0,1,1,47.5,46.81,263,0.22,1.73675993967926,1.55832239683122,1.52938012538002,0,6
62,0.446756291064292,0.754375377187688,2.19195082330434,0.232796487238905,0.930156274849052,0,1,1,47.5,46.83,255,0.2,1.68695654075888,1.51714597789545,1.48459391665928,0,6
63,0.471038817194236,0.772690043116105,2.15348078447577,0.210807305983165,0.907406843292905,0,1,1,47.5,46.85,246,0.18,1.6121971578885,1.45287690651601,1.41851758308253,0,6
64,0.462048272478654,0.785126562401859,2.05445452256283,0.19537628106851,0.968272622868142,0,1,1,47.5,46.87,237,0.17,1.53373560357346,1.38536802813707,1.34866523320551,0,6
65,0.461628169949705,0.792606565952793,2.00536038295028,0.184127254394882,0.966666016646603,0,1,1,47.5,46.89,228,0.16,1.46088485391704,1.32262356963912,1.28485561937536,0,6
66,0.458829606091613,0.79159014628586,1.98811754726773,0.193284101594618,0.969599906017905,0,1,1,47.5,46.91,216,0.14,1.40434182270616,1.27329570962855,1.23555951890605,0,6
67,0.464188759133291,0.738890777165319,2.39356719303371,0.263549536453679,0.837053729275623,0,1,1,50,48.8,359,0.52,3.07617719437477,2.70305440651033,2.77588780093796,0,6
68,0.47300867416525,0.754682806816295,2.32771013796756,0.243897633707021,0.874274330308756,0,1,1,50,48.82,358,0.51,3.04560208804211,2.68013059929088,2.74536122987421,0,6
69,0.45355673382983,0.753602218604932,2.29234817639486,0.251409356378836,0.883035212992446,0,1,1,50,48.84,356,0.5,3.00897995752192,2.65200566495317,2.70714283118515,0,6
70,0.466435666894278,0.74470144918902,2.35446674437101,0.25525747358113,0.874642129133527,0,1,1,50,48.86,355,0.49,2.97096688244969,2.61760233772787,2.67613809202973,0,6
71,0.449909237459604,0.736116836464283,2.3723969901765,0.263117994585946,0.864487425284661,0,1,1,50,48.88,350,0.46,2.93677067148025,2.5858327425464,2.63786233226952,0,6
72,0.468040085297056,0.740718793517229,2.41230299272811,0.255347055048975,0.863032761958373,0,1,1,50,48.9,348,0.46,2.83032151381038,2.48706049291934,2.54457160801564,0,6
73,0.458650241785743,0.751619740540866,2.31447701914345,0.250221537355724,0.875711534450375,0,1,1,50,48.92,347,0.44,2.79048282858669,2.45292116280128,2.50873442592872,0,6
74,0.458784766182959,0.743439149505613,2.34563145761584,0.254297239875431,0.894551602929464,0,1,1,50,48.94,344,0.44,2.72875912856943,2.40233840151852,2.45146935002318,0,6
