idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Skewness_S,Kurtosis_S,Variance_S,RMS_S,Skewness_T,Kurtosis_T,Variance_T,RMS_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
85,-0.0101556066404842,1.55783043596822,4.91626888341229,2.2172587982934,-0.0108472095924564,1.53387737808461,4.91242228149505,2.21640192115677,-0.00672875426490658,1.55020706881085,5.17933368504176,2.27579277207985,50,49.23,333,0.36,2.21725879829341,2.21640192115677,2.27579277207985,0,1
86,-0.00863897026581553,1.55779830013932,4.71819716406546,2.17213773093827,-0.00779280818633882,1.53572629615139,4.71557542086574,2.17153075914545,-0.00947835456457412,1.54914370786187,4.96373548264166,2.22792454013973,50,49.24,330,0.35,2.17213773093827,2.17153075914545,2.22792454013973,0,1
87,-0.00750832309792361,1.55948577345342,4.53213161158772,2.12888167352504,-0.00974306760787612,1.53291639483356,4.52211739341923,2.12652488715704,-0.00468997133244162,1.54683372765539,4.75575553484236,2.18074919404825,50,49.26,327,0.34,2.12888167352504,2.12652488715704,2.18074919404825,0,1
88,-0.00738305325901486,1.55872094153873,4.30701014030175,2.07532596504871,-0.00535580517532418,1.53548906393035,4.2984994323157,2.07327868801612,-0.00294509750821048,1.54757677041914,4.50619427897697,2.12275985154953,50,49.28,322,0.33,2.07532596504871,2.07327868801612,2.12275985154953,0,1
89,-0.00520452785895712,1.56016794255005,4.09164540999868,2.02277573063373,-0.00428172412531532,1.53415914950309,4.09171068461046,2.02280078459512,-0.00288501368634638,1.54184044536335,4.26871819434314,2.06606827133951,50,49.3,318,0.31,2.02277573063373,2.02280078459512,2.06606827133951,0,1
90,-0.00400156924427999,1.56052484269082,3.85303241085929,1.96290468650602,-0.00316621476920174,1.5327796979614,3.86184334576146,1.96515216062115,-0.00168565093562048,1.54433671893544,4.01621094733666,2.00402886453173,50,49.32,312,0.3,1.96290468650602,1.96515216062115,2.00402886453173,0,1
91,-0.000932838159390986,1.56046212435012,3.56346028558999,1.88771671448216,-0.00209478220338285,1.53697465044968,3.57248588034712,1.89010212336965,-0.00188586005881307,1.5402544231105,3.69678560663622,1.92268534215151,50,49.34,306,0.28,1.88771671448216,1.89010212336965,1.92268534215151,0,1
92,-0.0025804928455258,1.5589551240091,3.34522341616403,1.82898885810306,-0.00157459088124393,1.53434407071408,3.35525352519138,1.83174893525243,-0.000457807099677021,1.53472184859213,3.46261901084732,1.8607927985886,50,49.36,299,0.26,1.82898885810306,1.83174893525243,1.8607927985886,0,1
93,-0.000139385918673368,1.5601000860721,3.0727934905637,1.75293251540658,-0.000878216958371134,1.53405245228216,3.09829483746324,1.76020511317396,0.000659468771698382,1.53638877065299,3.18947677838386,1.78589281583945,50,49.38,292,0.25,1.75293251540658,1.76020511317396,1.78589281583945,0,1
94,0.000953601225283793,1.5571023530486,2.85139568309161,1.68861144395582,-0.000458676934474359,1.53709964479596,2.88375443064241,1.69817456953683,0.00171811188197367,1.53680118685546,2.95281045093057,1.71835741252324,50,49.4,284,0.23,1.68861144395582,1.69817456953683,1.71835741252324,0,1
