idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,scm_COR_S,scm_IDM_S,scm_ENT_S,scm_CSD_S,scm_CSR_S,scm_DKL_S,scm_MDR_S,scm_CAD_S,scm_COR_T,scm_IDM_T,scm_ENT_T,scm_CSD_T,scm_CSR_T,scm_DKL_T,scm_MDR_T,scm_CAD_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
42,0.974302812946626,0.907605736068252,2.36053863024906,0.0493029393176477,0.485016667678249,0,1,1,0.965895414430514,0.902624833014406,2.26330599239796,0.0579241819204192,0.863185056150495,0,1,1,0.962040322923826,0.885472931092496,2.34444494086236,0.0834818854891779,0.785629075212769,0,1,1,47.5,46.51,359,0.49,2.66080687564733,2.67166978365419,2.73862564113486,0,1
43,0.974214821837634,0.884705216221955,2.550410977588,0.0707450629868607,0.294840769214073,0,1,1,0.977085014792239,0.911643510921489,2.36008046700974,0.0520996125999513,0.416559093547297,0,1,1,0.962297965989595,0.876470278892843,2.43757242850656,0.0848049147349297,0.641269184839313,0,1,1,47.5,46.53,356,0.47,2.61041089486897,2.61942873898421,2.68751657273172,0,1
44,0.977082691210672,0.911211546872722,2.36757924747067,0.0521285348192245,0.397657656194462,0,1,1,0.977605735204677,0.917212408049456,2.33958543543036,0.0428743345858478,0.4381149305495,0,1,1,0.951906785595141,0.882223202470225,2.33486306362079,0.0670375781104162,0.870590659472007,0,1,1,47.5,46.55,354,0.46,2.57644552786149,2.5858546380657,2.65368468102491,0,1
45,0.977649751521016,0.924864044985387,2.2872767581276,0.0280438325341475,0.543893687353249,0,1,1,0.97086856345068,0.899587988701175,2.39235536253446,0.0544715235637957,0.534031227349286,0,1,1,0.964591467588475,0.896089465572243,2.32267009231991,0.0637349212903607,0.79555865789921,0,1,1,47.5,46.57,352,0.45,2.53434268080105,2.54236257699634,2.61262948386405,0,1
46,0.976603040009154,0.908892605249763,2.3764505639847,0.0551217806385061,0.400506656243502,0,1,1,0.978216030652697,0.921574048474795,2.31965153880994,0.0367683722271697,0.455740897136455,0,1,1,0.964499406782905,0.896571510543681,2.28473145722926,0.072153581054458,0.834141281592518,0,1,1,47.5,46.59,350,0.45,2.49726302572737,2.50304691132893,2.57337475973026,0,1
47,0.977327391001704,0.915734144063295,2.34009374636005,0.0454180040098868,0.443625027557695,0,1,1,0.975637799265898,0.918020747268888,2.32154871585628,0.0339754024148155,0.530736787602376,0,1,1,0.966188366810722,0.906930764905407,2.23153575715035,0.0592321635997656,0.893478591175894,0,1,1,47.5,46.61,348,0.43,2.45340038559853,2.46186057820874,2.53172925384786,0,1
48,0.974576444823169,0.891027354539785,2.52093186827376,0.0624805268432471,0.3155926206109,0,1,1,0.964646054878686,0.906256796925977,2.21963099475663,0.0572600141322394,0.937281316343769,0,1,1,0.961765165296836,0.880126738250308,2.38519792672237,0.0854878503087195,0.727386702933245,0,1,1,47.5,46.63,345,0.42,2.40911802520674,2.4183634161363,2.48632327744582,0,1
49,0.97750485404979,0.914511467973808,2.35456353869743,0.0477815709953995,0.407561564853327,0,1,1,0.966495480336105,0.906338934507949,2.21101454712757,0.0643465457973625,0.895795027469452,0,1,1,0.963985766484159,0.883845079634442,2.40121469449406,0.0761981078415276,0.662779251922973,0,1,1,47.5,46.65,343,0.41,2.3672859596711,2.37651424845071,2.44300093479042,0,1
50,0.976654915187995,0.896539358077819,2.5434055794749,0.0498877322192364,0.275279771628714,0,1,1,0.970032156996268,0.908100254268071,2.32424779042635,0.0417837269212134,0.695633094840527,0,1,1,0.964288151542468,0.895142954329807,2.3099683342606,0.0676180474244546,0.815695039270527,0,1,1,47.5,46.67,338,0.39,2.30426520468086,2.30778349482997,2.37780266537046,0,1
51,0.976240881490567,0.895864688597434,2.54780888440728,0.0471329254375475,0.276235793645993,0,1,1,0.973274233306148,0.912492015694862,2.33784670434751,0.0378269260862283,0.567038803116198,0,1,1,0.964526861091891,0.898488741936064,2.28094971131689,0.0682786152287122,0.845451150347541,0,1,1,47.5,46.69,335,0.38,2.26018006441819,2.25617954931095,2.3230646550828,0,1
