idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
132,0.186508662854429,9.47109257202743,8.58724750648283,2.93058198105,55,54.86,238,0.16,1.42120755682252,1.32553594322756,1.37000581858005,0,3
133,0.293810889107672,9.63133522309432,7.272896723643,2.69689303386423,55,54.89,218,0.12,1.27359736215997,1.18955897594776,1.22564174080385,0,3
134,0.4312989776148,8.3913471524975,16.1790436298056,4.0228375935921,57.5,56.26,373,0.51,3.05752691611506,2.91019212001208,3.07794426570687,0,3
135,0.283961997399991,8.43531328334137,15.7312673805889,3.96653596100711,57.5,56.28,371,0.51,3.02412631855873,2.8790411800371,3.04535297134199,0,3
136,0.349277948277311,8.46211954118202,15.8293995864063,3.97956669051605,57.5,56.3,370,0.5,2.99140279253103,2.84509281182036,3.01227209029035,0,3
137,0.483832064131394,8.63127322008327,15.6720154851989,3.9589490390293,57.5,56.32,368,0.49,2.95453733548857,2.81154590893707,2.97798633558602,0,3
138,0.528284414990969,8.63496340817719,15.4944603559434,3.94046978163547,57.5,56.34,366,0.48,2.91375039287244,2.770962857615,2.93543361255305,0,3
139,0.466858081082539,8.62326497159575,15.3870310881625,3.92334550859097,57.5,56.36,365,0.48,2.85993533316296,2.73760808310754,2.88535133564961,0,3
140,0.438921330098265,8.65283975784472,15.3610103415523,3.91971647645291,57.5,56.38,363,0.47,2.82408164073228,2.70236223776826,2.85047002357086,0,3
141,0.240461547247706,8.66349279688234,14.6002059563167,3.82127152588273,57.5,56.4,361,0.47,2.78766442318648,2.66420656093988,2.80959688416629,0,3
142,0.402544960046138,8.60984129111037,14.8246688973449,3.85122061252778,57.5,56.42,359,0.47,2.7471692607145,2.62312161966585,2.77077307067612,0,3
143,0.4573199812376,8.66964630655109,14.7168987888173,3.83659617964315,57.5,56.45,356,0.42,2.67932472840154,2.55672270755002,2.70528925820755,0,3
144,0.466802961479987,8.98430258789038,14.2677830189126,3.77756188640385,57.5,56.51,346,0.38,2.50479029791024,2.37018548211703,2.50618112818497,0,3
