idx,fx1_R,fx0d5_R,fx1d5_R,fx2d5_R,fx3_R,fx5_R,fx7_R,fx1_S,fx0d5_S,fx1d5_S,fx2d5_S,fx3_S,fx5_S,fx7_S,fx1_T,fx0d5_T,fx1d5_T,fx2d5_T,fx3_T,fx5_T,fx7_T,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
1267,4.19360600110875,0.0161881669203406,0.0110858743774818,0.00784390042786577,0.137514931872664,0.055780683231924,0.027702508654495,3.19046126319212,0.0117139290217123,0.00857535627516953,0.0078620079137529,0.153076538674302,0.058733043095803,0.023719273751897,3.10712952561801,0.0193355948238393,0.0139754382221163,0.00220815268893327,0.0747461208874131,0.0630879337390655,0.0201334890207439,52.5,51.29,332,0.45,3.02741446378371,2.32171112800933,2.25779016484669,0,7
1268,4.1026466428163,0.0132534228116461,0.0135059781361296,0.00496583556271576,0.135223658897564,0.0513940727958004,0.0236325315683211,3.12288161567035,0.00440982565538092,0.00863746672634099,0.00517335827911771,0.151009777071484,0.0558546027333279,0.022822683182595,3.03955592578095,0.0173646782747105,0.00590533088943636,0.00212171590474236,0.06919243816119,0.0606599300395336,0.0205049304469415,52.5,51.31,329,0.44,2.97668928431216,2.28526626927745,2.21524347680906,0,7
1269,3.25937116777098,0.0163994339093052,0.0166660774285518,0.00557355069889553,0.147110861059146,0.0688278878096386,0.0250270689237626,2.52269348632898,0.0059952400292624,0.00982421716655359,0.00559675770753392,0.159210908772658,0.0708240745707458,0.0200649230612331,2.4596574411951,0.0149506970204573,0.00917060360558548,0.00548437854893919,0.0718907305829953,0.0690101902900226,0.0160343885024588,52.5,51.33,326,0.42,2.90610459797128,2.23496799066861,2.15857149458091,0,7
1270,2.78712280935731,0.0128472682645168,0.0137206264378351,0.00496103937095402,0.110972829272032,0.0622099846824743,0.0249722002973963,2.10168388902909,0.00729716678361974,0.00672016129402202,0.00465259012109372,0.120084609779958,0.0660222112456927,0.0224173767245824,2.01351790091832,0.018082470592872,0.00813657988396803,0.00269154989190153,0.0570092343079461,0.067934346557039,0.0216882720211487,52.5,51.35,326,0.42,2.86067147339834,2.19864060209715,2.11778900886367,0,7
1271,3.47659161923142,0.0147074937316356,0.0117858635450052,0.00677794921613415,0.130251195047563,0.0485166528880224,0.0259042798744875,2.66330717771262,0.00872741100293439,0.00496199105768299,0.00569650953217917,0.137443760980966,0.0544696069073486,0.0221052980211734,2.58459910109642,0.0186889250962268,0.00784211263531872,0.00329465953605839,0.0607056628380255,0.0481887967187613,0.0200824139356463,52.5,51.37,321,0.41,2.81640130329801,2.16563071000527,2.08144284162844,0,7
1272,3.83100370088697,0.0171898763769044,0.012187840389017,0.00412192952403862,0.124796059212493,0.0481435607887967,0.0195131856700183,2.93856606700481,0.00274717476777329,0.00571797597762801,0.00534457276780209,0.135254295794361,0.0537920912955089,0.017312371532779,2.82535969903994,0.0179968441108259,0.00701356420261657,0.00213832483425867,0.0569095722678969,0.0492060963739401,0.0160367969148674,52.5,51.39,319,0.39,2.76331817362222,2.13043554085016,2.04074120213967,0,7
1273,3.71960862555912,0.018442043962479,0.00950922388291643,0.00561280041897558,0.109099748622878,0.052890103984095,0.0244934606669282,2.8672270675637,0.00289049841246947,0.00471111843293993,0.00518574578230323,0.115785429319728,0.0533427837946953,0.0213869812974852,2.74953781468504,0.0204945064109861,0.00633744426525576,0.00216002365882312,0.046289993670807,0.0496824626105385,0.0191988453733196,52.5,51.41,316,0.38,2.71925303286516,2.09855151203458,2.00299796889946,0,7
1274,3.16243029209363,0.0195402374039241,0.00879974379185623,0.00469296723617356,0.124892772307114,0.0488151581437224,0.0268796363729058,2.43672727936044,0.00524902032042029,0.00799080058459348,0.00381831090812488,0.132367475040333,0.0491676838711977,0.0227947423083718,2.34771503724718,0.0174251873846569,0.00685969453480107,0.00309278977379175,0.0532824152785081,0.0365558916593302,0.0196495333325923,52.5,51.43,314,0.37,2.67923256944828,2.07085247256533,1.96671692490054,0,7
1275,2.38794643779933,0.0238823349027048,0.0144098852397896,0.00524828927038656,0.0836560804640294,0.0409856616287201,0.0238659039608203,1.84120919631028,0.00767859724248316,0.0046088840330075,0.00697089399487492,0.0872053114871719,0.0432563918795343,0.0188950860176851,1.72365059329193,0.0166802839903362,0.00909926388867744,0.0035431869359495,0.0304407506308587,0.041135784293218,0.0159306436625036,52.5,51.45,311,0.37,2.6315922091768,2.03876939457702,1.92589422830667,0,7
1276,3.16327319419593,0.0213652147693224,0.00878128834061786,0.00663704515960329,0.100844874763637,0.0492237733989623,0.0218196615554527,2.44258025493245,0.00660957857288966,0.00520568613971049,0.00469681569127645,0.103967683831427,0.0476266037573449,0.0221915296098572,2.30530908006401,0.0150036309929909,0.00921618763712989,0.00297096954553607,0.0347835583634704,0.0450488560286756,0.0181710760302885,52.5,51.47,303,0.34,2.52252192455153,1.96128971185108,1.84172224694039,0,7
1277,3.44500849357854,0.016287803312099,0.00373760720613009,0.00591218676022044,0.10440360776954,0.0526792163930825,0.0187236890332555,2.67484280104943,0.00468433837202732,0.00559750906212979,0.00485653951794649,0.107983649082207,0.0504909370152806,0.0167164026780109,2.4945534272587,0.0124723307710762,0.00571191924644518,0.00296102260682196,0.0324613528260931,0.0485168420137483,0.0142812593447601,52.5,51.49,300,0.33,2.47047380769811,1.92918165200025,1.79608691115457,0,7
1278,3.30944575313079,0.0167512413637824,0.00631891861630124,0.00305930270928091,0.0776645367321087,0.0448083074115272,0.0241317675918222,2.58305553924865,0.00493807763178138,0.00485146886406928,0.00508821345027309,0.082172950784844,0.0414033010064491,0.0204970473753554,2.4071748422294,0.0139783998163634,0.0074605958465976,0.00234514568656971,0.0245201009961707,0.0435395899504843,0.0177272358846773,52.5,51.51,296,0.33,2.41998073074248,1.89335725215644,1.76066985102995,0,7
1279,2.74594145890349,0.0150742381862979,0.00712085401966962,0.00440640276149862,0.100270224803153,0.047188900014947,0.0238338110503091,2.16730904667668,0.0102162047709807,0.00866970478247072,0.00538874291408113,0.100985580370639,0.0466843329195335,0.0200593826423479,2.02137626044071,0.0147212843835008,0.0119555258177384,0.00326077411448026,0.0232493549355662,0.0336067868428554,0.0169560737160045,52.5,51.53,292,0.31,2.36505769983773,1.85611627099662,1.71560669854508,0,7
1280,2.09648315433366,0.0238885353596525,0.00691816776332473,0.00323480604096976,0.0660577024316916,0.0388740626911936,0.0182134340656754,1.62816202916388,0.0165255890031974,0.00882411590860411,0.00302276013487146,0.0638602264590898,0.041307929673102,0.0188496265557246,1.48085911883653,0.0172725008156372,0.0146615665411309,0.00258069465331749,0.00888679089879316,0.0323969564455168,0.0128487098169231,52.5,51.55,285,0.29,2.26860007428908,1.79236960229639,1.64430931637667,0,7
1281,2.65466878545757,0.0265288606268065,0.00488976973964563,0.00481084497873993,0.0913952845778693,0.038831740692777,0.0220112642813845,2.09449743248675,0.00764662222311425,0.00655699490709522,0.00301362478335352,0.0852776251442496,0.0399409431004989,0.0191155357986878,1.92356725123664,0.0216785763950748,0.0111068392838931,0.00280476124332839,0.00890261044673605,0.0283212945651865,0.0166923217960293,52.5,51.57,280,0.28,2.21398645169694,1.75605448158822,1.60566681254293,0,7
1282,2.92529612886184,0.0293769346415229,0.00569647858227639,0.00336590260172536,0.0718118864139934,0.0376248310563085,0.0211700372591437,2.31809024804982,0.012422785455059,0.00963794275637578,0.00429484775204518,0.064311770498793,0.0308380926731022,0.0177154491020497,2.10212482266303,0.016012436861325,0.0102506934395732,0.00230558336900968,0.00335666932838026,0.0278694009156739,0.0135846344096628,52.5,51.59,271,0.26,2.11211451251808,1.68230416076985,1.52955410018579,0,7
1283,2.76085259500778,0.0281033240821494,0.00346040010895052,0.00389573215478459,0.0577714419734115,0.0426790547558051,0.0180025189793091,2.20895118727078,0.0146040777064066,0.00931345580912676,0.00309847660215303,0.0499048136945429,0.0379442856459862,0.017158610616451,1.99484587721197,0.0153832961162826,0.0102968405741862,0.00175616028852475,0.00630112834207514,0.0311832285429814,0.0157124548906233,52.5,51.61,264,0.24,2.03356201143891,1.62960579365127,1.47075531703514,0,7
1284,1.70453855703459,0.02869069582465,0.00419200266181548,0.00770875412839462,0.0549790518156483,0.0367023025268667,0.0146785078866106,1.38497797430105,0.0182779626723728,0.00865543353976187,0.0049150458665905,0.0409551408877336,0.0346502203203665,0.0138881351962612,1.25374170771624,0.0122321125639542,0.0120615989627684,0.00268833194758436,0.0137586426803682,0.0261210125450626,0.0130099243854441,52.5,51.65,240,0.2,1.81290772215241,1.46419545027,1.30880347670201,0,7
