idx,Skewness_R,Kurtosis_R,Variance_R,RMS_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
172,0.470251104182605,10.8962509643784,10.4508697266275,3.23330005914146,60.0,59.39,305,0.27,1.90222233224068,1.8716886342783898,1.9005312829659098,0,5
173,0.391295656239329,11.5410969423615,9.59356630683012,3.09920270369017,60.0,59.42,291,0.24,1.77122045826441,1.7468209674479198,1.76796457930523,0,5
174,0.37378661522097206,11.6035691238445,8.92221505543661,2.9875346875394304,60.0,59.45,278,0.21,1.64989760797703,1.63334460213191,1.6478043640210602,0,5
175,0.37979607610055394,10.8361479283707,8.875582697472618,2.9794773093631695,60.0,59.48,261,0.18,1.5188250047356697,1.50888561409801,1.51926002144248,0,5
176,0.12391529503629,11.810359513138199,6.98292104692987,2.6426509679027204,60.0,59.51,243,0.16,1.4170374489842599,1.40843563791903,1.4130445191779,0,5
177,0.276804903212419,12.4751041830246,6.208150644023419,2.49175111807927,60.0,59.54,215,0.13,1.2335935408510301,1.2282788324408602,1.22982109620075,0,5
1,0.36175158655622,8.301680997026558,15.4051622269523,3.9321968623012697,45.0,43.79,352,0.49,2.9686315590755297,2.61847466168056,2.69854826958521,0,6
2,0.217442749702151,8.4520762626072,14.7278917061449,3.84157150931166,45.0,43.81,351,0.49,2.9078257618742205,2.56164683824169,2.64193126464622,0,6
3,0.293904293802969,8.18827273905262,15.141343233057801,3.8920920161117705,45.0,43.83,350,0.48,2.86977197576818,2.52682064282636,2.60640168339377,0,6
4,0.23928999754320898,8.135205887981,15.4112012878255,3.9261122566965003,45.0,43.85,348,0.47,2.8342044667056503,2.49584208862678,2.57267194958642,0,6
5,0.33897073023005797,8.42665281735265,14.8858654982549,3.8626537277649504,45.0,43.87,346,0.46,2.8011355371660205,2.46936092116142,2.5404385799522595,0,6
6,0.403147475345892,8.42554776166814,14.7024942878229,3.8344780508547505,45.0,43.89,344,0.46,2.76621537089285,2.44070307798304,2.50411631342183,0,6
7,0.5036892802023161,8.59806776131612,14.902124631185998,3.86029040458585,45.0,43.91,342,0.44,2.7228637152049906,2.4032530911740495,2.46544710580319,0,6
8,0.21991427954604997,8.30629415879632,14.670105563464,3.8315387999141,45.0,43.93,340,0.43,2.67335204708896,2.36160635315579,2.41838224757096,0,6
9,0.383880718198335,8.6511609356437,14.4052410049416,3.7988510841192205,45.0,43.95,338,0.42,2.63805690643483,2.33073181346202,2.38525797083952,0,6
10,0.29630917992605393,8.40521261244105,14.3594779158216,3.78943217885179,45.0,43.97,336,0.42,2.6035084526227297,2.3069290308225,2.35143233765023,0,6
11,0.41025857801592996,8.72094103140437,14.0838508669255,3.7543653656332405,45.0,43.99,335,0.41,2.57353500382117,2.27781200844168,2.3226505914522,0,6
12,0.263502314709629,8.48564512697446,13.956128462221699,3.73580625514916,45.0,44.01,332,0.4,2.52563254797918,2.24030511145715,2.27522714939429,0,6
13,0.281370498032692,8.48779948172873,13.833082787472101,3.7228219518379997,45.0,44.03,329,0.38,2.4798244831403,2.20507386211875,2.23240336765154,0,6
14,0.290212411344727,8.46922303343362,13.6581760824836,3.70224110315304,45.0,44.05,326,0.38,2.44080890363258,2.1717461620416696,2.19568466688585,0,6
15,0.261574701722184,8.35056734635673,13.651795969254902,3.6948257465272496,45.0,44.07,323,0.36,2.3817079510980497,2.12308538031924,2.13871819723208,0,6
16,0.341199730542404,8.45342721652631,13.6137949909737,3.68975247118608,45.0,44.09,320,0.36,2.34441648738544,2.09228657351594,2.1017084991029997,0,6
17,0.33868509999366997,8.66098012760693,12.9701114241906,3.60207666793245,45.0,44.11,317,0.35,2.2981382671084503,2.05278943167668,2.06097418129193,0,6
18,0.34173913253930205,8.66603946121003,12.843612812610303,3.58376556024541,45.0,44.13,313,0.34,2.24889310905223,2.0100240213187,2.01526035808969,0,6
19,0.451008058618245,8.82668695266659,12.5978622487306,3.5496409261327404,45.0,44.15,309,0.31,2.19836469585848,1.96756623361078,1.9724392003133202,0,6
20,0.327563712579567,8.5795543233342,12.7534127199545,3.57136392517247,45.0,44.17,306,0.31,2.15465053846435,1.92696077927454,1.9299884018946103,0,6
21,0.21269278504662198,8.7161601476641,12.146256889476199,3.4859841193850696,45.0,44.19,302,0.29,2.1058447764524098,1.8864419295152801,1.8855414278166398,0,6
22,0.357137670580546,8.75370539104507,11.8282902039468,3.44057597083703,45.0,44.21,296,0.28,2.0525526557022102,1.8389963343373201,1.8346607615105701,0,6
23,0.111990492688652,8.772380674951169,11.3141248966727,3.36738794732194,45.0,44.23,291,0.27,1.99689928125917,1.78778755986983,1.7804643605299801,0,6
24,0.24377318974893103,8.893767918383759,11.0299233939187,3.3212204060770696,45.0,44.25,286,0.26,1.9456623509618403,1.74361903573837,1.73182850482409,0,6
25,0.327401363288248,9.06026602286053,10.9730186946191,3.31737434046152,45.0,44.27,280,0.25,1.8929402448099997,1.69584588384094,1.67921152244711,0,6
26,0.283317211813026,9.06011564065854,10.4445046651899,3.23184932058132,45.0,44.29,275,0.24,1.83548515212653,1.64697706738967,1.62603687008326,0,6
27,0.131412957212782,8.975537477083051,10.094389205372599,3.1777215014030804,45.0,44.31,268,0.22,1.7794279736477,1.59806250372574,1.57437916536396,0,6
28,0.146132010522326,9.044498619042999,9.43298363531716,3.07194683985125,45.0,44.33,260,0.21,1.71832170064317,1.5463047273039,1.52051690943366,0,6
29,0.220262929881007,8.72470023402215,9.34066046969022,3.05629743568313,45.0,44.35,248,0.2,1.62267711946942,1.46415417796839,1.43327170301009,0,6
30,0.178651847612945,9.03048352423106,8.42524812183035,2.90365005598894,45.0,44.37,238,0.17,1.5492240164201798,1.4007669277117198,1.3676622775453702,0,6
31,-0.10698727707540101,8.909394409328891,7.6723767412927195,2.7727011462649798,45.0,44.39,226,0.16,1.4630569641206301,1.3254584554829498,1.2942119042195501,0,6
32,0.23104527911968104,9.606443343436029,6.935270901851339,2.63689687844792,45.0,44.41,215,0.14,1.38315245740513,1.2567314682585702,1.22299494306166,0,6
33,0.312059584422258,8.23759310172369,16.5490207663002,4.06964306211742,47.5,46.25,361,0.53,3.1191502410409395,2.74557577723046,2.82631937925948,0,6
34,0.48199327228373295,8.21457096221808,15.9966832454744,4.00052577483161,47.5,46.27,359,0.52,3.0757860020364203,2.7038100452612595,2.7835604341787006,0,6
35,0.350345805495419,8.30614666821213,15.740578126291098,3.96866669779883,47.5,46.29,357,0.51,3.04501339221232,2.67657713885628,2.7517107408697496,0,6
36,0.29476380160519,8.18697160174493,15.7572342484112,3.9703636133961298,47.5,46.31,356,0.5,3.01616592751886,2.65417689029059,2.725752729152,0,6
37,0.31253431937301696,8.14771896438248,15.770018308717301,3.9714748274595295,47.5,46.33,355,0.5,2.98468087601369,2.62218657886151,2.6913694515135895,0,6
38,0.46791250046523497,8.86560193020481,14.2477152863393,3.7768535071318197,47.5,46.35,353,0.49,2.94820022372896,2.59368677083143,2.6567833369636,0,6
39,0.43462909325387894,8.414944084102121,15.6252845888536,3.9528949744882502,47.5,46.37,351,0.48,2.9044149153162,2.55486487710283,2.61608058110066,0,6
40,0.343915675527888,8.400372483798929,15.2736364683069,3.91344926935991,47.5,46.39,349,0.47,2.8694715224000604,2.52486548137187,2.5844835196794,0,6
41,0.46763265620690597,8.60695160590688,15.067535533317402,3.88312874122067,47.5,46.41,347,0.46,2.82162102952182,2.4836551157314597,2.53739923184875,0,6
42,0.43902084446792,8.46098833093686,15.134804971273901,3.8916675723299106,47.5,46.43,345,0.45,2.7798594575433304,2.45015332270442,2.49889078155457,0,6
43,0.313744389109258,8.405530080654732,14.9051885767688,3.8614342123398595,47.5,46.45,343,0.44,2.73485947385328,2.41232749662469,2.45718025863294,0,6
44,0.266501449739027,8.3803443808509,14.6445959095535,3.82719952247497,47.5,46.47,340,0.43,2.6895036270572596,2.37719130400784,2.4188317675062203,0,6
45,0.428749583298553,8.39714839230204,14.7736217045036,3.8444851140418397,47.5,46.49,338,0.41,2.6344890924864703,2.32613434997965,2.36772728483517,0,6
