idx,scm_COR_R,scm_IDM_R,scm_ENT_R,scm_CSD_R,scm_CSR_R,scm_DKL_R,scm_MDR_R,scm_CAD_R,Freq_Rated,Freq_Gen,CC_bus,Power,I_R_rms,I_S_rms,I_T_rms,Load,Class
44,0.46628324002478294,0.75924379318199,2.2636034263669,0.239953210144099,0.896424305950737,0,1,1,47.5,46.47,340,0.43,2.6895036270572596,2.37719130400784,2.4188317675062203,0,6
45,0.47125372740003796,0.7544209065121609,2.3164605523483797,0.23860184974043,0.8989049205709359,0,1,1,47.5,46.49,338,0.41,2.6344890924864703,2.32613434997965,2.36772728483517,0,6
46,0.45815722318162894,0.7350563053129872,2.4074987448162597,0.26234499886469304,0.8575762695693392,0,1,1,47.5,46.51,335,0.41,2.5884846464945,2.2895183148033103,2.3253937962555,0,6
47,0.46037556335468205,0.7484469725319959,2.31339246512763,0.248920412363443,0.8950042214696321,0,1,1,47.5,46.53,332,0.39,2.52841496494192,2.2433337691164703,2.2683071849984904,0,6
48,0.46900300004792206,0.7617654676478208,2.25573801170503,0.233527638021943,0.8894739834007429,0,1,1,47.5,46.55,329,0.38,2.4793739458662296,2.20389613336644,2.2235347468524904,0,6
49,0.43992869924912,0.7256788725853041,2.4032482943916498,0.274268591470773,0.8627707353783929,0,1,1,47.5,46.57,326,0.38,2.43303234206482,2.16621008222577,2.17931238455673,0,6
50,0.452460539321228,0.746770218803675,2.31442235424805,0.251158996326611,0.8806941059272,0,1,1,47.5,46.59,323,0.37,2.38385584297908,2.12375634723288,2.13411153964119,0,6
51,0.46441982839574897,0.75086349301697,2.33536627899398,0.246177335199868,0.868255358188573,0,1,1,47.5,46.61,320,0.35,2.33511652310132,2.08172319522934,2.08906359991217,0,6
52,0.454685748541573,0.7664127285825959,2.16036204002046,0.234483386148355,0.9117931766405308,0,1,1,47.5,46.63,317,0.33,2.29138246976837,2.04480254285915,2.0493416920591296,0,6
53,0.44597080452916704,0.735369817481212,2.36051914312371,0.259884008205975,0.8667670491728,0,1,1,47.5,46.65,313,0.32,2.2353939299908503,1.99660893265081,1.9999812515841002,0,6
54,0.450746086624454,0.761788679820217,2.19465412119225,0.237745214896679,0.917429394460562,0,1,1,47.5,46.67,308,0.31,2.17336717637957,1.93984640172997,1.94333018489701,0,6
55,0.463284840762853,0.760896031166302,2.20408553324833,0.23137197817667302,0.9178678849946329,0,1,1,47.5,46.69,300,0.29,2.09064283650466,1.8638987717631,1.8661533339892,0,6
56,0.45437995033846795,0.759462907831581,2.19464542968308,0.23984273423480998,0.921938118798189,0,1,1,47.5,46.71,295,0.28,2.0418183069506397,1.8239782099684398,1.8201553438254698,0,6
57,0.45234927236132794,0.7438262421898248,2.2953277164904504,0.248104810375677,0.8845332066138158,0,1,1,47.5,46.73,290,0.25,1.9887227024133,1.7788365530393502,1.76952058460175,0,6
58,0.456323118371659,0.750852217266598,2.2871682835677003,0.23612015201177697,0.9021149955945329,0,1,1,47.5,46.75,285,0.26,1.93567106437334,1.7323586888035198,1.71816731254473,0,6
59,0.453785562570092,0.7530120481927709,2.24750717839708,0.234901717623397,0.931318553076217,0,1,1,47.5,46.77,280,0.23,1.88336634920933,1.68605327432743,1.6645134565818798,0,6
60,0.47375689670619003,0.782497104760713,2.10804605433223,0.20179450924029502,0.941416106774789,0,1,1,47.5,46.79,272,0.23,1.81499617494301,1.62588274209333,1.60018575856516,0,6
61,0.468944241643819,0.77326363650423,2.11708501451704,0.216091264236071,0.9327581311743639,0,1,1,47.5,46.81,263,0.22,1.73675993967926,1.55832239683122,1.52938012538002,0,6
62,0.44675629106429204,0.7543753771876881,2.19195082330434,0.23279648723890498,0.930156274849052,0,1,1,47.5,46.83,255,0.2,1.6869565407588798,1.51714597789545,1.48459391665928,0,6
63,0.471038817194236,0.772690043116105,2.15348078447577,0.21080730598316502,0.9074068432929051,0,1,1,47.5,46.85,246,0.18,1.6121971578885002,1.4528769065160099,1.4185175830825298,0,6
64,0.462048272478654,0.785126562401859,2.05445452256283,0.19537628106851002,0.9682726228681421,0,1,1,47.5,46.87,237,0.17,1.53373560357346,1.38536802813707,1.34866523320551,0,6
65,0.461628169949705,0.7926065659527929,2.00536038295028,0.18412725439488198,0.966666016646603,0,1,1,47.5,46.89,228,0.16,1.46088485391704,1.3226235696391202,1.2848556193753602,0,6
66,0.45882960609161294,0.79159014628586,1.98811754726773,0.193284101594618,0.969599906017905,0,1,1,47.5,46.91,216,0.14,1.40434182270616,1.2732957096285502,1.23555951890605,0,6
67,0.464188759133291,0.738890777165319,2.39356719303371,0.26354953645367896,0.8370537292756229,0,1,1,50.0,48.8,359,0.52,3.07617719437477,2.7030544065103297,2.77588780093796,0,6
68,0.47300867416525,0.7546828068162951,2.32771013796756,0.24389763370702103,0.8742743303087559,0,1,1,50.0,48.82,358,0.51,3.0456020880421097,2.68013059929088,2.74536122987421,0,6
69,0.45355673382982997,0.7536022186049319,2.2923481763948597,0.25140935637883605,0.883035212992446,0,1,1,50.0,48.84,356,0.5,3.00897995752192,2.65200566495317,2.70714283118515,0,6
70,0.46643566689427796,0.7447014491890199,2.3544667443710097,0.25525747358113005,0.874642129133527,0,1,1,50.0,48.86,355,0.49,2.97096688244969,2.61760233772787,2.67613809202973,0,6
71,0.449909237459604,0.736116836464283,2.3723969901765,0.26311799458594604,0.8644874252846609,0,1,1,50.0,48.88,350,0.46,2.9367706714802497,2.5858327425464,2.63786233226952,0,6
72,0.46804008529705604,0.7407187935172289,2.41230299272811,0.25534705504897504,0.8630327619583729,0,1,1,50.0,48.9,348,0.46,2.83032151381038,2.4870604929193396,2.54457160801564,0,6
73,0.45865024178574304,0.751619740540866,2.31447701914345,0.250221537355724,0.875711534450375,0,1,1,50.0,48.92,347,0.44,2.79048282858669,2.45292116280128,2.5087344259287203,0,6
74,0.458784766182959,0.7434391495056129,2.34563145761584,0.254297239875431,0.8945516029294641,0,1,1,50.0,48.94,344,0.44,2.72875912856943,2.40233840151852,2.45146935002318,0,6
75,0.454321461679534,0.7434280956345899,2.36101151221579,0.255843511282692,0.862074615213803,0,1,1,50.0,48.96,341,0.42,2.68989547891626,2.37322013111249,2.4158550366297797,0,6
76,0.458402941884914,0.75763315402682,2.25622331117467,0.24123213778747898,0.8856329145125971,0,1,1,50.0,48.98,339,0.42,2.6459959488059597,2.33642512147033,2.37758054832739,0,6
77,0.466587098221884,0.752671985548698,2.32997201567674,0.246415769641989,0.849677407557116,0,1,1,50.0,49.0,337,0.41,2.59976653974539,2.299608585133,2.33325745367463,0,6
78,0.4605884957492679,0.7515180664943192,2.29806430504767,0.248040679706268,0.892743166310434,0,1,1,50.0,49.02,334,0.4,2.5599487909783303,2.2665475783390896,2.2836506710141298,0,6
79,0.454975804097281,0.7485590238790331,2.29613380033376,0.253025020176724,0.889462189911024,0,1,1,50.0,49.04,331,0.38,2.5066455927393596,2.22067264119651,2.24739162073796,0,6
80,0.459758658634691,0.747652371553323,2.3045830464613197,0.253608618349005,0.8859108930364961,0,1,1,50.0,49.06,329,0.37,2.4633171372832203,2.18343915508656,2.2062945926065,0,6
81,0.452748781854097,0.7544664413326899,2.26981785886411,0.24536452569297798,0.896160090847451,0,1,1,50.0,49.08,326,0.35,2.4026854252776,2.13291235013362,2.1489384657373996,0,6
82,0.461211671688245,0.7612319778329251,2.2405194175263996,0.236757120051645,0.9073206670142429,0,1,1,50.0,49.1,322,0.34,2.35656283788377,2.08999693810311,2.1064784727588504,0,6
83,0.4639306819545,0.7727378100610459,2.16990750455998,0.226476072674432,0.898949093257948,0,1,1,50.0,49.12,318,0.33,2.3006722478192003,2.03949271391244,2.0553453688977097,0,6
84,0.455839159481633,0.741179958493922,2.34738992027405,0.251926103548548,0.854797385988618,0,1,1,50.0,49.14,315,0.33,2.23879283358502,1.9864810608366201,2.00276553347061,0,6
85,0.45452073074122495,0.7468148347298771,2.29732737043814,0.24869525539063397,0.9074720784693431,0,1,1,50.0,49.17,311,0.31,2.1843712330495397,1.9404211334726202,1.95115665726682,0,6
86,0.46166416701245294,0.755880752252524,2.27940059708342,0.238938672284439,0.909793891862353,0,1,1,50.0,49.18,305,0.3,2.1323765222586,1.8980655223820702,1.9006511057956101,0,6
87,0.45747780045895203,0.7552756000664641,2.23724471059611,0.23702159386556196,0.9268733590684142,0,1,1,50.0,49.2,297,0.27,2.05674147711963,1.82910216081615,1.82720334449498,0,6
88,0.45024947178128294,0.738061849582995,2.30542922869579,0.258635219738208,0.8845634138842571,0,1,1,50.0,49.22,290,0.25,1.97869516832373,1.7606692300451698,1.7516953946288703,0,6
89,0.445144519087861,0.7442580491508021,2.27887095011452,0.24885034427723898,0.909632660630938,0,1,1,50.0,49.24,285,0.24,1.9223960525808301,1.71023846242172,1.6956871440266499,0,6
90,0.4592108810333979,0.761730652041438,2.19767606255227,0.228265384740195,0.943119986516891,0,1,1,50.0,49.26,279,0.24,1.8672661049913202,1.66396274221867,1.6443744315861397,0,6
